FANPAGE  ,FIN  ,DOJ ,GROW ,Hipo
Rosmann Polska  ,0 ,0 ,0 ,0
Bankier  ,2 ,0 ,0 ,0
PulsBiznesu   ,3 ,0 ,0 ,0
Open FM   ,0 ,0 ,0 ,0
Proper Tasty  ,0 ,0 ,0 ,0
MUZO.FM  ,0 ,0 ,0 ,0
Auto Stop Race   ,0 ,0 ,0 ,0
WakacyjniPiraci  ,0 ,0 ,0 ,0
KFC  ,0 ,0 ,0 ,0
Pasibus  ,0 ,0 ,0 ,0
Hip Hop Kemp - PL   ,0 ,0 ,0 ,0
Orange  ,0 ,0 ,0 ,0
Netia   ,0 ,0 ,0 ,0
Biedronka  ,0 ,0 ,0 ,0
Tesco   ,0 ,0 ,0 ,0
Auchan  ,0 ,0 ,0 ,0
Fresh  ,0 ,0 ,0 ,0
Zabka  ,0 ,0 ,0 ,0
Carrefour   ,0 ,0 ,0 ,0
Kuchenne rewolucje  ,0 ,0 ,0 ,0
Gra o tron  ,0 ,0 ,0 ,0
Plus  ,0 ,0 ,0 ,0
Play  ,0 ,0 ,0 ,0
T-Mobile  ,0 ,0 ,0 ,0
Eminem   ,0 ,0 ,0 ,0
Rihanna   ,0 ,0 ,0 ,0
Shakira   ,0 ,0 ,0 ,0
Coca-cola  ,0 ,0 ,0 ,0
Cristiano Ronaldo   ,0 ,0 ,0 ,0
Harry Potter  ,0 ,0 ,0 ,0
Disney   ,0 ,0 ,0 ,0
Hebe  ,0 ,0 ,0 ,0
Sinsay  ,0 ,0 ,0 ,0
H&M  ,0 ,0 ,0 ,0
Mohito   ,0 ,0 ,0 ,0
Zupa  ,0 ,0 ,0 ,0
D E Y N N  ,0 ,0 ,0 ,0
Maffashion  ,0 ,0 ,0 ,0
OryginalneButy  ,0 ,0 ,0 ,0
MACADEMIAN GIRL  ,0 ,0 ,0 ,0
RAS LUTA   ,0 ,0 ,0 ,0
Bas Tajpan  ,0 ,0 ,0 ,0
Bob Marley   ,0 ,0 ,0 ,0
Step Records  ,0 ,0 ,0 ,0
Channing Tatum  ,0 ,0 ,0 ,0
Boo  ,0 ,0 ,0 ,0
Kino Cinema 3D  ,0 ,0 ,0 ,0
CONVERSE  ,0 ,0 ,0 ,0
Multikino Polska  ,0 ,0 ,0 ,0
Fitness Academy   ,0 ,0 ,0 ,0
Rosmann Polska  ,0 ,0 ,0 ,0
Bankier  ,2 ,0 ,0,5 ,0
PulsBiznesu   ,3 ,0 ,0,5 ,0
Forbes  ,2 ,0 ,0,5 ,0
Pi_knie Mieszkaj  ,2 ,1 ,0 ,2
RynekPierwotny.pl  ,3 ,1 ,0 ,4
HouseMarket.pl  ,3 ,1 ,0 ,4
Idealne Mieszkanie  ,1 ,1 ,0 ,4
Dupeczky  ,0 ,-3 ,0 ,0
Studencki budzet  ,1 ,3 ,0 ,-1
Castel Prywatny Osrodek Pomocy Psychologicznej  ,-3 ,-1 ,-1 ,-2
Texas HoldŐem Poker  ,-1 ,0 ,0 ,0
YouTube  ,0 ,0 ,0 ,0
Demotywatory  ,0 ,0 ,0 ,-1
Allegro  ,0 ,0 ,0 ,0
Kocham spac!  ,0 ,0 ,0 ,-1
Nie chce mi sie  ,0 ,0 ,0 ,-2
KWEJK.pl  ,0 ,0 ,0 ,-1
Jak Oszczedzac Pieniadze  ,2 ,2 ,0,5 ,2
Onet Wiadomosci  ,0 ,0 ,0 ,0
TVN  ,0 ,0 ,0 ,0
Pasja informatyki  ,0 ,0 ,2 ,1
Mieszkanie dla Mlodych  ,0 ,1 ,0 ,3
Obiady za grosze - wyprobowane przepisy  ,1 ,3 ,0 ,-1
Pudelek  ,0 ,-1 ,0 ,0
Asbiro  ,2 ,2 ,2 ,2
Wiedza bezuzyteczna  ,0 ,0 ,0 ,0
Business Insider Polska  ,1 ,0 ,1 ,0
KarierwFinansach.pl  ,1 ,0 ,2 ,0
Goldman Sachs  ,1 ,0 ,0 ,0
Credit Suisse  ,1 ,0 ,0 ,0
Wall Street Journal  ,2 ,0 ,1 ,0
Harvard Business Review  ,2 ,0 ,1 ,0
Harvard Business Review Polska  ,2 ,0 ,1 ,0
Financial Times  ,2 ,0 ,1 ,0
Paszport do Wall Street  ,2 ,0 ,1 ,0
Szkola Inwestowania  ,2 ,0 ,1 ,0
Urzad komisji Nadzoru Finansowego  ,3 ,0 ,0 ,0
StockWatch.pl  ,2 ,0 ,1 ,0
Akademia Biznesu AKME  ,2 ,0 ,1 ,0
Investment Banking Academy  ,2 ,0 ,1 ,0
Michał Stopka: Inwestor Profesjonalny  ,2 ,0 ,1 ,0
Independent Trader  ,1 ,0 ,1 ,0
Zwiazek Przedsiebiorcow i Pracodawcow  ,3 ,0 ,1 ,0
Forum Uczelni Ekonomicznych  ,0 ,0 ,1 ,0
Profit Journal  ,1 ,0 ,5 ,0
Warren Buffett  ,2 ,0 ,1 ,0
Charlie Munger  ,2 ,0 ,1 ,0
CFA Insitute  ,3 ,0 ,3 ,0
CIMA  ,3 ,0 ,3 ,0
ACCA  ,3 ,0 ,3 ,0
The Boston Consulting Group - BCG Careers  ,2 ,0 ,3 ,0
Bain&Company  ,2 ,0 ,0 ,0
EY Careers  ,2 ,0 ,3 ,0
TEDx  ,1 ,0 ,3 ,0
TEDxYouth Wroclaw  ,1 ,0 ,3 ,0
Andrew Stotz  ,2 ,0 ,1 ,0
Goldman Sachs ,1 ,0 ,0 ,0
Credit Suisse ,1 ,0 ,0 ,0
Wall Street Journal ,2 ,0 ,5 ,0
Harvard Business Review ,2 ,0 ,1 ,0
Harvard Business Review Polska ,2 ,0 ,1 ,0
Financial Times ,2 ,0 ,5 ,0
Paszport do Wall Street ,2 ,0 ,0,5 ,0
Szkola Inwestowania ,2 ,0 ,1 ,0
Urzad komisji Nadzoru Finansowego ,3 ,0 ,0 ,0
StockWatch.pl ,2 ,0 ,1 ,0
Akademia Biznesu AKME ,2 ,0 ,1 ,0
Investment Banking Academy ,2 ,0 ,1 ,0
Michał Stopka: Inwestor Profesjonalny ,2 ,0 ,5 ,0
Independent Trader ,1 ,0 ,5 ,0
Zwiazek Przedsiebiorcow i Pracodawcow ,3 ,0 ,5 ,0
Forum Uczelni Ekonomicznych ,0 ,0 ,1 ,0
Profit Journal ,1 ,0 ,0,5 ,0
Warren Buffett ,2 ,0 ,1 ,0
Charlie Munger ,2 ,0 ,1 ,0
CFA Insitute ,3 ,0 ,3 ,0
CIMA ,3 ,0 ,3 ,0
ACCA ,3 ,0 ,3 ,0
The Boston Consulting Group - BCG Careers ,2 ,0 ,3 ,0
Bain&Company ,2 ,0 ,0 ,0
EY Careers ,2 ,0 ,3 ,0
TEDx ,1 ,0 ,3 ,0
TEDxYouth Wroclaw ,1 ,0 ,3 ,0
Andrew Stotz ,2 ,0 ,1 ,0
